rsp,mtd,word,res
1,Опрос в гугл-форме,obmanuli_dlina,д
1,Опрос в гугл-форме,obmanuli_kogo,к
1,Опрос в гугл-форме,obmanuli_na,к
1,Опрос в гугл-форме,plaksa_dl,д
1,Опрос в гугл-форме,plaksa_vaksa,в
1,Опрос в гугл-форме,ryova,оо
1,Опрос в гугл-форме,ryova_dl,к
1,Опрос в гугл-форме,zhad_bar,О
1,Опрос в гугл-форме,zhad_ogur_dl,(д)
2,Опрос в гугл-форме,obmanuli_dlina,д
2,Опрос в гугл-форме,obmanuli_kogo,чк
2,Опрос в гугл-форме,obmanuli_na,к
2,Опрос в гугл-форме,plaksa_dl,с
2,Опрос в гугл-форме,plaksa_vaksa,в
2,Опрос в гугл-форме,ryova,оо
2,Опрос в гугл-форме,ryova_dl,к
2,Опрос в гугл-форме,zhad_bar,О
2,Опрос в гугл-форме,zhad_ogur_dl,д
3,Опрос в гугл-форме,obmanuli_dlina,
3,Опрос в гугл-форме,obmanuli_kogo,
3,Опрос в гугл-форме,obmanuli_na,
3,Опрос в гугл-форме,plaksa_dl,
3,Опрос в гугл-форме,plaksa_vaksa,
3,Опрос в гугл-форме,ryova,
3,Опрос в гугл-форме,ryova_dl,
3,Опрос в гугл-форме,zhad_bar,Б
3,Опрос в гугл-форме,zhad_bar_dl,д
4,Опрос в гугл-форме,obmanuli_dlina,д
4,Опрос в гугл-форме,obmanuli_kogo,к
4,Опрос в гугл-форме,obmanuli_na,к
4,Опрос в гугл-форме,plaksa_dl,д
4,Опрос в гугл-форме,plaksa_vaksa,в
4,Опрос в гугл-форме,ryova,оо
4,Опрос в гугл-форме,ryova_dl,к
4,Опрос в гугл-форме,zhad_bar,Б
4,Опрос в гугл-форме,zhad_bar_dl,к
5,Опрос в гугл-форме,obmanuli_dlina,
5,Опрос в гугл-форме,obmanuli_kogo,
5,Опрос в гугл-форме,obmanuli_na,
5,Опрос в гугл-форме,plaksa_dl,
5,Опрос в гугл-форме,plaksa_vaksa,
5,Опрос в гугл-форме,ryova,
5,Опрос в гугл-форме,ryova_dl,
5,Опрос в гугл-форме,zhad_bar,О
5,Опрос в гугл-форме,zhad_ogur_dl,д
6,Опрос в гугл-форме,obmanuli_dlina,д
6,Опрос в гугл-форме,obmanuli_kogo,к
6,Опрос в гугл-форме,obmanuli_na,к
6,Опрос в гугл-форме,plaksa_dl,д
6,Опрос в гугл-форме,plaksa_vaksa,в
6,Опрос в гугл-форме,ryova,оо
6,Опрос в гугл-форме,ryova_dl,к
6,Опрос в гугл-форме,zhad_bar,Б
6,Опрос в гугл-форме,zhad_bar_dl,д
7,Опрос в гугл-форме,obmanuli_dlina,д
7,Опрос в гугл-форме,obmanuli_kogo,к
7,Опрос в гугл-форме,obmanuli_na,к
7,Опрос в гугл-форме,plaksa_dl,к
7,Опрос в гугл-форме,plaksa_vaksa,в
7,Опрос в гугл-форме,ryova,оо
7,Опрос в гугл-форме,ryova_dl,к
7,Опрос в гугл-форме,zhad_bar,Б
7,Опрос в гугл-форме,zhad_bar_dl,д
8,Опрос в гугл-форме,obmanuli_dlina,
8,Опрос в гугл-форме,obmanuli_kogo,
8,Опрос в гугл-форме,obmanuli_na,
8,Опрос в гугл-форме,plaksa_dl,д
8,Опрос в гугл-форме,plaksa_vaksa,в
8,Опрос в гугл-форме,ryova,оо
8,Опрос в гугл-форме,ryova_dl,к
8,Опрос в гугл-форме,zhad_bar,Б
8,Опрос в гугл-форме,zhad_bar_dl,д
9,Опрос в гугл-форме,obmanuli_dlina,д
9,Опрос в гугл-форме,obmanuli_kogo,к
9,Опрос в гугл-форме,obmanuli_na,к
9,Опрос в гугл-форме,plaksa_dl,д
9,Опрос в гугл-форме,plaksa_vaksa,в
9,Опрос в гугл-форме,ryova,оо
9,Опрос в гугл-форме,ryova_dl,к
9,Опрос в гугл-форме,zhad_bar,Б
9,Опрос в гугл-форме,zhad_bar_dl,д
10,Опрос в гугл-форме,obmanuli_dlina,д
10,Опрос в гугл-форме,obmanuli_kogo,к
10,Опрос в гугл-форме,obmanuli_na,нет
10,Опрос в гугл-форме,plaksa_dl,
10,Опрос в гугл-форме,plaksa_vaksa,
10,Опрос в гугл-форме,ryova,оо
10,Опрос в гугл-форме,ryova_dl,к
10,Опрос в гугл-форме,zhad_bar,Б
10,Опрос в гугл-форме,zhad_bar_dl,д
11,Опрос в гугл-форме,obmanuli_dlina,д
11,Опрос в гугл-форме,obmanuli_kogo,к
11,Опрос в гугл-форме,obmanuli_na,к
11,Опрос в гугл-форме,plaksa_dl,д
11,Опрос в гугл-форме,plaksa_vaksa,в
11,Опрос в гугл-форме,ryova,оо
11,Опрос в гугл-форме,ryova_dl,к
11,Опрос в гугл-форме,zhad_bar,Б
11,Опрос в гугл-форме,zhad_bar_dl,д
12,Опрос в гугл-форме,obmanuli_dlina,д
12,Опрос в гугл-форме,obmanuli_kogo,к
